website,link,status
apre,https://apre.it/news/,active
apre_eventi,https://apre.it/eventi/,active
areflh,http://www.areflh.org/index.php?lang=en,active
areflh_eventi,https://www.areflh.org/en/events-ok,todo
consigliodeuropait,https://www.coe.int/it/web/portal/full-news,active
consigliodeuropait_eventi,https://www.coe.int/it/web/portal/events,todo
consiglioeuropeo,https://www.consilium.europa.eu/it/press/press-releases/,active
cor,https://cor.europa.eu/it/news/Pages/default.aspx,active
cor_eventi,https://cor.europa.eu/it/events/Pages/default.aspx,todo
cpmr,https://cpmr.org/news/,active
cpmr_eventi,https://cpmr.org/events/,todo
earlall,https://www.earlall.eu/news/,active
earlall_eventi,https://www.earlall.eu/event/,todo
ecgeneric,https://ec.europa.eu/info/news_it?department=All&field_announcement_type_value_i18n=All&persons=All&research_areas=All,active
ecgeneric_eventi,https://ec.europa.eu/info/events_en?search_api_views_fulltext=&facet__select__field_core_topics=0&facet__select__field_core_location%3Acountry=0&facet__select__field_event_organisers=0&facet__checkboxes__field_event_external_event=on&field_event_date_value_1%5Bdate%5D=&facet__select__field_core_event_collection=0&facet__select__field_core_research_areas=0&facet__select__field_core_priorities=0&facet__select__field_core_policies=0&facet__select__field_core_pri_policy_areas=0&facet__select__field_core_pages=0&facet__select__field_core_departments=0,todo
ecitalia,https://italy.representation.ec.europa.eu/notizie-ed-eventi/notizie-0_it,active
ecitalia_eventi,https://italy.representation.ec.europa.eu/notizie-ed-eventi/eventi-0_it,todo
eea,https://www.eea.europa.eu/highlights#c7=en&c6=&b_start=0,active
eib,https://www.eib.org/en/press/all/index.htm?q=&sortColumn=startDate&sortDir=desc&pageNumber=0&itemPerPage=10&pageable=true&language=EN&defaultLanguage=EN&mediaTypes=press-release&mediaTypes=media-new&mediaTypes=media-speech&mediaTypes=generic-video&ormediaTypes=true&yearFrom=&yearTo=&orMediaTypes=true&orTags=true&orCountries=true&orRegions=true&orSubjects=true,active
eib_eventi,https://www.eib.org/en/events/index.htm?q=&sortColumn=relevant&sortDir=desc&pageNumber=0&itemPerPage=25&pageable=true&language=EN&defaultLanguage=EN&pastEvent=true&orpastEvent=true&yearTo=&yearFrom=&orRegions=true&orCountries=true&orSubjects=true&orTags=true,todo
eif,https://www.eif.org/news_centre/press_releases/all/index.htm?year=0000&category=&keywordList=,active
eit,https://eit.europa.eu/news-events/news,active
eit_eventi,https://eit.europa.eu/news-events/events,todo
enicbcmed,http://www.enicbcmed.eu/info-center/news,active
espon,https://www.espon.eu/news-events/news/latest-news,active
eucommission,https://ec.europa.eu/commission/presscorner/home/it,active
euparliament,https://www.europarl.europa.eu/news/it/press-room,active
euregha,http://www.euregha.net/news/,active
euregha_eventi,http://www.euregha.net/calendar/,todo
europeanagency,https://www.european-agency.org/news,active
eurostat,https://ec.europa.eu/eurostat/news/whats-new,active
eusalp,https://www.alpine-region.eu/news,active
eusalp_eventi,https://www.alpine-region.eu/events,todo
imi,https://www.imi.europa.eu/news-events/newsroom,active
imi_eventi,https://www.imi.europa.eu/news-events/events,todo
interreg,https://www.interregeurope.eu/search/?tx_tevsearch_search%5BentityTypes%5D%5B0%5D=news&tx_tevsearch_search%5BfilterMap%5D=news_and_events&cHash=77de13491bcdbf115bcc65131e10499a,active
