website,link,status
interreg_eventi,https://www.interregeurope.eu/search/?tx_tevsearch_search%5B__referrer%5D%5B%40extension%5D=TevSearch&tx_tevsearch_search%5B__referrer%5D%5B%40vendor%5D=Tev&tx_tevsearch_search%5B__referrer%5D%5B%40controller%5D=Search&tx_tevsearch_search%5B__referrer%5D%5B%40action%5D=index&tx_tevsearch_search%5B__referrer%5D%5Barguments%5D=YToyOntzOjExOiJlbnRpdHlUeXBlcyI7YToxOntpOjA7czo0OiJuZXdzIjt9czo5OiJmaWx0ZXJNYXAiO3M6MTU6Im5ld3NfYW5kX2V2ZW50cyI7fQ%3D%3Dd24a8395b5c8b63b4e145dc8d9ae52b4381d0347&tx_tevsearch_search%5B__trustedProperties%5D=a%3A12%3A%7Bs%3A9%3A%22filterMap%22%3Bi%3A1%3Bs%3A8%3A%22keywords%22%3Bi%3A1%3Bs%3A11%3A%22entityTypes%22%3Ba%3A2%3A%7Bi%3A0%3Bi%3A1%3Bi%3A1%3Bi%3A1%3B%7Ds%3A15%3A%22eventCategories%22%3Ba%3A4%3A%7Bi%3A0%3Bi%3A1%3Bi%3A1%3Bi%3A1%3Bi%3A2%3Bi%3A1%3Bi%3A3%3Bi%3A1%3B%7Ds%3A13%3A%22eventFromDate%22%3Bi%3A1%3Bs%3A11%3A%22eventToDate%22%3Bi%3A1%3Bs%3A14%3A%22newsCategories%22%3Ba%3A4%3A%7Bi%3A0%3Bi%3A1%3Bi%3A1%3Bi%3A1%3Bi%3A2%3Bi%3A1%3Bi%3A3%3Bi%3A1%3B%7Ds%3A12%3A%22newsFromDate%22%3Bi%3A1%3Bs%3A10%3A%22newsToDate%22%3Bi%3A1%3Bs%3A17%3A%22thematicInterests%22%3Ba%3A4%3A%7Bi%3A0%3Bi%3A1%3Bi%3A1%3Bi%3A1%3Bi%3A2%3Bi%3A1%3Bi%3A3%3Bi%3A1%3B%7Ds%3A8%3A%22sortType%22%3Bi%3A1%3Bs%3A7%3A%22sortDir%22%3Bi%3A1%3B%7Dc8f665d365ff65c39f89e2126abb014d7f61cc88&tx_tevsearch_search%5BfilterMap%5D=news_and_events&tx_tevsearch_search%5Bkeywords%5D=&tx_tevsearch_search%5BentityTypes%5D=&tx_tevsearch_search%5BentityTypes%5D%5B%5D=event&tx_tevsearch_search%5BeventCategories%5D=&tx_tevsearch_search%5BeventFromDate%5D=&tx_tevsearch_search%5BeventToDate%5D=&tx_tevsearch_search%5BnewsCategories%5D=&tx_tevsearch_search%5BnewsFromDate%5D=&tx_tevsearch_search%5BnewsToDate%5D=&tx_tevsearch_search%5BthematicInterests%5D=&tx_tevsearch_search%5Bcountry%5D=&tx_tevsearch_search%5BsortType%5D=&tx_tevsearch_search%5BsortDir%5D=desc,todo
jrc,https://ec.europa.eu/jrc/en/news-list,active
jrc_eventi,https://ec.europa.eu/jrc/en/events,todo
promis,https://www.promisalute.it/servizi/notizie/notizie_fase01.aspx?categoriaVisualizzata=7,active
promis_eventi,https://www.promisalute.it/servizi/eventi/cerca_fase02.aspx?categoriaVisualizzata=2,todo
necstour,http://www.necstour.eu/news,todo
necstour_eventi,http://www.necstour.eu/calendar,todo
eceducation,https://ec.europa.eu/education/news_en,active
eceducation_eventi,https://ec.europa.eu/education/events_en,todo
ecoceans,https://ec.europa.eu/oceans-and-fisheries/news_en,active
ec_politicheregionali,https://ec.europa.eu/regional_policy/en/newsroom/news,active
ec_politicheregionali_it,https://ec.europa.eu/regional_policy/it/newsroom/news,todo
ecrea,https://ec.europa.eu/chafea/agri/newsroom-and-events/news,active
ecsalute,https://ec.europa.eu/health/latest_updates_it,todo
ectrade,https://trade.ec.europa.eu/doclib/press/,todo
first_eventi,https://first.aster.it/_aster_/eventi,todo
fse,https://ec.europa.eu/esf/main.jsp?catId=67&langId=it,todo
interact,https://www.interact-eu.net/#news,todo
necstour,https://necstour.eu/news,todo
parlamento_europeo_thinktank_eventi,https://www.europarl.europa.eu/thinktank/it/upcomingevents.html,todo
pon,http://www.istruzione.it/pon/,todo
urbact,https://urbact.eu/urbact-news,todo
slovenian_presidency_news,https://slovenian-presidency.consilium.europa.eu/en/news/,todo
slovenian_presidency_events,https://slovenian-presidency.consilium.europa.eu/it/eventi/,todo
ecb_events,https://www.ecb.europa.eu/pub/conferences/html/index.en.html,todo
ecb_news,https://www.ecb.europa.eu/press/pr/date/html/index.en.html,todo
ecb_blog,https://www.ecb.europa.eu/press/blog/html/index.en.html,todo
ecdigital_library,https://digital-strategy.ec.europa.eu/en/library,todo
ecdigital_events,https://digital-strategy.ec.europa.eu/en/events,todo
ecdigital_search,https://digital-strategy.ec.europa.eu/en/search?search=,todo
errin,https://errin.eu/highlights,todo
integrim,https://www.integrim.eu,todo
elisan,https://www.elisan.eu/,todo
alda,https://www.alda-europe.eu/,todo
eurohealthnet,https://eurohealthnet.eu/,todo
eriaff,https://eriaff2014.blogspot.com/,todo
arepo,http://www.arepoquality.eu/it,todo
all4climate,https://all4climate2021.org/,todo
jrc_events,https://ec.europa.eu/jrc/en/events,todo
eit_events,https://eit.europa.eu/news-events/events,todo
eitdigital,https://www.eitdigital.eu/newsroom/,todo
eitfood,https://www.eitfood.eu/news/,todo
eithealth,https://eithealth.eu/news-and-views/news/,todo
eitinnoenergy,https://www.innoenergy.com/news-events/,todo
eitmanufacturing,https://eitmanufacturing.eu/newsroom-media/,todo
eitrawmaterials,https://eitrawmaterials.eu/,todo
eiturbanmobility,https://www.eiturbanmobility.eu/,todo
